Date,Close,Open,High,Low,Volume,log_return
6/25/2013,35751.4,36464.35,36544.2,34835.5,,-0.019745642
6/26/2013,36096.42,35750.99,36244.19,35730.77,,0.009604262
6/27/2013,36468.25,36114.94,36501.45,36095.28,,0.010248328
6/28/2013,36159.87,36468.68,36538.27,36153.06,,-0.008492079
7/1/2013,35832.16,36164.79,36172.16,35819.69,,-0.009104126
7/2/2013,36043.48,35860.97,36069.14,35832.16,,0.005880173
7/3/2013,35949.01,36041.65,36063.7,35945.99,,-0.002624442
7/4/2013,36509.64,35949.69,36514.43,35948.58,,0.01547479
7/5/2013,36926.29,36510.39,37021.67,36372.04,,0.011347428
7/8/2013,36790.14,36926.29,36926.29,36766.87,,-0.003693889
7/9/2013,37014.14,36791.04,37093.22,36790.14,,0.006070127
7/10/2013,37128.4,37014.04,37187.25,37014.04,,0.003082174
7/11/2013,37327.67,37128.4,37337.6,37128.4,,0.005352699
7/12/2013,37382.49,37327.81,37460.24,37327.81,,0.001467538
7/15/2013,37720.32,37377.67,37715.78,37377.67,,0.008996528
7/16/2013,37885.66,37720.32,37885.87,37701.49,,0.004373735
7/17/2013,37975.34,37885.1,38004.31,37857.34,,0.002364325
7/18/2013,38334.54,37983.75,38337.76,37975.34,,0.009414316
7/19/2013,38328.29,38334.72,38391.23,38296.68,,-0.000163052
7/22/2013,38090.75,38328.29,38339.37,38050.11,,-0.006216795
7/23/2013,37885.58,38092.76,38142.25,37833.56,,-0.005400906
7/24/2013,37554.01,37885.05,37898.34,37412.1,,-0.008790401
7/25/2013,37286.5,37568.27,37604.33,37239.03,,-0.007148833
7/26/2013,37145.65,37286.5,37322.26,37127.86,,-0.003784659
7/29/2013,37562.5,37149.71,37564.09,37145.65,,0.011159541
7/30/2013,37806.45,37562.5,37910.57,37562.08,,0.006473511
7/31/2013,37914.33,37806.45,37931.17,37806.45,,0.002849418
8/1/2013,38292.07,37910.27,38292.36,37910.27,,0.009913684
8/2/2013,38424.34,38292.07,38450.97,38267.83,,0.003448288
8/5/2013,38350.96,38424.34,38522.74,38297.61,,-0.001911553
8/6/2013,38227.63,38350.96,38404.5,38178.98,,-0.003221008
8/7/2013,38037.85,38227.63,38277.47,38034,,-0.004976836
8/12/2013,37813.43,38038.79,38080.88,37766.18,,-0.005917386
8/13/2013,37589.6,37813.63,37841.31,37575.18,,-0.005936914
8/14/2013,37103.67,37589.6,37630.54,37058.81,,-0.01301153
8/15/2013,37111.64,37103.67,37107.38,36807.73,,0.00021478
8/16/2013,36986.94,37161.89,37221.7,36979.6,,-0.00336579
8/19/2013,36800.68,36878.47,37005.5,36596.18,,-0.005048554
8/20/2013,36558.8,36787.26,36800.68,36528.13,,-0.0065944
8/21/2013,36345.33,36558.5,36584.61,36315.37,,-0.005856201
8/22/2013,36563.89,36345.38,36571.62,36345.33,,0.005995419
8/23/2013,36577.28,36563.89,36664.15,36524.08,,0.000366141
8/26/2013,36526.69,36577.08,36669.39,36510.2,,-0.001384056
8/27/2013,36480.24,36526.74,36549.29,36469.47,,-0.001272482
8/28/2013,36299.27,36480.24,36501.79,36167.7,,-0.004973113
8/29/2013,36400.38,36298.85,36407.92,36221.4,,0.002781583
8/30/2013,36248.53,36400.38,36428.19,36188.38,,-0.004180385
9/2/2013,36337.15,36247.86,36363.3,36186.85,,0.002441805
9/3/2013,36230.83,36337.3,36407.43,36243.6,,-0.00293022
9/4/2013,36215.57,36230.83,36651.3,36121.85,,-0.000421277
9/5/2013,36476.3,36215.57,36743.39,36214.53,,0.007173598
9/6/2013,36403.95,36477.04,36502.28,36379.9,,-0.001985449
9/9/2013,36367.59,36403.95,36483.22,36358.22,,-0.000999292
9/10/2013,36113.13,36367.59,36367.65,36110.53,,-0.007021482
9/11/2013,36259.66,36113.13,36260.01,36037.88,,0.004049317
9/12/2013,36224.45,36259.66,36261.59,36093.91,,-0.000971523
